Entity,Code,Year,Life satisfaction,GDP per capita,Population,Continent
Afghanistan,AFG,2020,2.403800011,1970.560181,38972236,Asia
Albania,ALB,2020,5.198800087,13191.95215,2866850,Europe
Algeria,DZA,2020,5.122300148,10735.38281,43451668,Africa
Angola,AGO,2012,3.794837952,8036.692383,25188298,Africa
Argentina,ARG,2020,5.967000008,19690.66211,45036032,South America
Armenia,ARM,2020,5.398600101,12619.89258,2805610,Asia
Australia,AUS,2020,7.162099838,48678.68359,25670052,Oceania
Austria,AUT,2020,7.163000107,51857.69141,8907780,Europe
Azerbaijan,AZE,2020,5.173399925,13726.76953,10284952,Asia
Bahrain,BHR,2020,6.646900177,41480.57813,1477478,Asia
Bangladesh,BGD,2020,5.155499935,4871.446289,167420944,Asia
Belarus,BLR,2020,5.821499825,19186.77539,9633745,Europe
Belgium,BEL,2020,6.804999828,48769.72656,11561716,Europe
Belize,BLZ,2012,5.955646515,7264.63916,337067,North America
Benin,BEN,2020,4.62319994,3323.144531,12643121,Africa
Bhutan,BTN,2013,5.082128525,9163.563477,728898,Asia
Bolivia,BOL,2020,5.600299835,7845.170898,11936169,South America
Bosnia and Herzegovina,BIH,2020,5.768000126,14509.26563,3318410,Europe
Botswana,BWA,2020,3.471100092,14654.65137,2546404,Africa
Brazil,BRA,2020,6.29279995,14063.98242,213196304,South America
Bulgaria,BGR,2020,5.370900154,22379.09375,6979181,Europe
Burkina Faso,BFA,2020,4.670499802,2155.769287,21522632,Africa
Burundi,BDI,2019,3.775300026,751.6641235,11874838,Africa
Cambodia,KHM,2020,4.640299797,4191.566406,16396864,Asia
Cameroon,CMR,2020,5.047599792,3666.410645,26491090,Africa
Canada,CAN,2020,7.025100231,46064.25391,37888704,North America
Central African Republic,CAF,2015,3.475862026,852.7492065,4819341,Africa
Chad,TCD,2020,4.250800133,1519.036743,16644707,Africa
Chile,CHL,2020,6.171800137,23324.52539,19300318,South America
China,CHN,2020,5.585299969,16315.81543,1424929792,Asia
Colombia,COL,2020,5.780600071,13448.93262,50930656,South America
Congo,COG,2020,5.075200081,3433.958984,5702183,Africa
Costa Rica,CRI,2020,6.581999779,19903.14063,5123107,North America
Cote d'Ivoire,CIV,2020,5.234600067,5181.311035,26811792,Africa
Croatia,HRV,2020,6.125199795,27076.97852,4096872,Europe
Cyprus,CYP,2020,6.220900059,38816.09375,1237540,Europe
Czechia,CZE,2020,6.919799805,38511.26953,10530951,Europe
Democratic Republic of Congo,COD,2015,4.311033249,1065.242432,78656904,Africa
Denmark,DNK,2020,7.636199951,55819.91016,5825638,Europe
Dominican Republic,DOM,2020,5.737199783,17003.01367,10999668,North America
Ecuador,ECU,2020,5.533299923,10329.19922,17588596,South America
Egypt,EGY,2020,4.287700176,11951.44727,107465128,Africa
El Salvador,SLV,2020,6.119999886,7982.625977,6292734,North America
Estonia,EST,2020,6.340799809,35257.16016,1329449,Europe
Eswatini,SWZ,2020,4.396100044,8404.727539,1180663,Europe
Ethiopia,ETH,2020,4.241499901,2296.827393,117190920,Africa
Finland,FIN,2020,7.821000099,47154.42578,5529468,Europe
France,FRA,2020,6.686699867,42320.52344,64480052,Europe
Gabon,GAB,2020,4.958300114,14320.84473,2292583,Africa
Gambia,GMB,2020,5.163599968,2156.754639,2574005,Africa
Georgia,GEO,2020,4.973199844,13966.32617,3765912,Asia
Germany,DEU,2020,7.034100056,51423.23438,83328992,Europe
Ghana,GHA,2020,4.872000217,5445.725586,32180402,Africa
Greece,GRC,2020,5.948200226,27072.61914,10512232,Europe
Guatemala,GTM,2020,6.262199879,8393.28418,17362716,North America
Guinea,GIN,2020,4.890500069,2670.823242,13205157,Africa
Guyana,GUY,2005,5.992826462,7965.367676,759713,South America
Haiti,HTI,2019,3.614900112,3073.329102,11160441,North America
Honduras,HND,2020,6.022099972,5138.385254,10121762,North America
Hong Kong,HKG,2020,5.424799919,56153.97266,7500955,Asia
Hungary,HUN,2020,6.08589983,31098.39648,9750571,Europe
Iceland,ISL,2020,7.557499886,52375.67969,366682,Europe
India,IND,2020,3.777100086,6165.746582,1396387072,Asia
Indonesia,IDN,2020,5.239600182,11444.96094,271857984,Asia
Iran,IRN,2020,4.887899876,12644.44531,87290192,Asia
Iraq,IRQ,2020,4.940899849,9012.381836,42556988,Asia
Ireland,IRL,2020,7.040800095,90789.21875,4946123,Europe
Israel,ISR,2020,7.363800049,39056.41797,8757487,Asia
Italy,ITA,2020,6.466700077,39073.41406,59500576,Europe
Jamaica,JAM,2020,5.849599838,8761.019531,2820438,North America
Japan,JPN,2020,6.038899899,40232.21094,125244760,Asia
Jordan,JOR,2020,4.152100086,9816.554688,10928723,Asia
Kazakhstan,KAZ,2020,6.234099865,25363.16602,18979250,Asia
Kenya,KEN,2020,4.543000221,4339.856934,51985780,Africa
Kosovo,OWID_KOS,2020,6.45510006,10706.51367,1670702,Europe
Kuwait,KWT,2020,6.106100082,44847.05469,4360451,Asia
Kyrgyzstan,KGZ,2020,5.828499794,4714.938965,6424880,Asia
Laos,LAO,2020,5.140299797,7810.734863,7319397,Asia
Latvia,LVA,2020,6.180399895,30100.26953,1897057,Europe
Lebanon,LBN,2020,2.955300093,11488.41504,5662924,Asia
Lesotho,LSO,2020,3.511800051,2316.987793,2254104,Africa
Liberia,LBR,2020,5.121500015,1392.004883,5087591,Africa
Libya,LBY,2020,5.330200195,10282.29102,6653946,Africa
Lithuania,LTU,2020,6.445600033,37107.05859,2820269,Europe
Luxembourg,LUX,2020,7.403999805,112557.3125,630401,Europe
Madagascar,MDG,2020,4.339099884,1463.86499,28225182,Africa
Malawi,MWI,2020,3.750400066,1508.842896,19377058,Africa
Malaysia,MYS,2020,5.711299896,26471.67383,33199988,Asia
Maldives,MDV,2019,5.197599888,19510.49219,504518,Asia
Mali,MLI,2020,4.479000092,2225.894287,21224042,Africa
Malta,MLT,2020,6.446899891,39979.69922,515364,Europe
Mauritania,MRT,2020,4.152599812,5109.805176,4498605,Africa
Mauritius,MUS,2020,6.071100235,19462.93164,1297830,Africa
Mexico,MEX,2020,6.127600193,17852.35938,125998296,North America
Moldova,MDA,2020,5.856800079,12324.38867,3084848,Europe
Mongolia,MNG,2020,5.760700226,11723.87305,3294340,Asia
Montenegro,MNE,2020,5.546800137,18258.94922,629058,Europe
Morocco,MAR,2020,5.059899807,6986.283691,36688768,Africa
Mozambique,MOZ,2020,5.048299789,1229.940308,31178242,Africa
Myanmar,MMR,2020,4.394199848,4857.389648,53423200,Asia
Namibia,NAM,2020,4.459400177,8814.591797,2489099,Africa
Nepal,NPL,2020,5.37650013,3800.065674,29348626,Asia
Netherlands,NLD,2020,7.414899826,54324.38281,17434562,Europe
New Zealand,NZL,2020,7.199800014,42774.69141,5061130,Oceania
Nicaragua,NIC,2020,6.164599895,5280.099609,6755900,North America
Niger,NER,2020,5.003499985,1221.269897,24333644,Africa
Nigeria,NGA,2020,4.552000046,4916.721191,208327408,Africa
North Macedonia,MKD,2020,5.198999882,15931.3623,2111078,Europe
Norway,NOR,2020,7.365099907,63548,5379836,Europe
Oman,OMN,2009,6.852982044,40212.00391,2697543,Asia
Pakistan,PAK,2020,4.515799999,4562.622559,227196736,Asia
Palestine,PSE,2020,4.482500076,5394.071777,5019407,Asia
Panama,PAN,2020,6.309100151,25389.8125,4294391,North America
Paraguay,PRY,2020,5.578299999,12389.58691,6618700,South America
Peru,PER,2020,5.559100151,11260.8457,33304768,South America
Philippines,PHL,2020,5.903600216,7953.581543,112190984,Asia
Poland,POL,2020,6.122799873,32398.70508,38428368,Europe
Portugal,PRT,2020,6.016300201,31961.77539,10298186,Europe
Qatar,QAT,2013,6.374529362,95499.90625,2035509,Asia
Romania,ROU,2020,6.477000237,28870.92969,19442040,Europe
Russia,RUS,2020,5.458600044,26456.38867,145617328,Europe
